timestamp,message_id,sender,recipient,subject,sender_ip,spf,dkim,dmarc,attachment,verdict,action
2020-01-01T00:43:27Z,<dc61702fbd994a25@partner.example>,myra.rana@partner.example,zara.datta@godavaricare.example,Ward roster,159.63.40.232,pass,pass,pass,-,CLEAN,delivered
2020-01-01T08:05:12Z,<714fe1a6d2464cd9@partner.example>,saira.lad@partner.example,jhanvi.dhingra@godavaricare.example,Re: claim settlement,115.177.22.220,pass,pass,pass,-,CLEAN,delivered
2020-01-01T13:40:25Z,<383285c38eb44cc8@partner.example>,oorja.sahota@partner.example,shanaya.boase@godavaricare.example,Lab result summary,147.185.56.132,pass,pass,pass,-,CLEAN,delivered
2020-01-01T19:14:34Z,<c1d58d2813c4451e@partner.example>,jayan.bora@partner.example,faiyaz.borah@godavaricare.example,Lab result summary,196.105.12.202,pass,pass,pass,-,CLEAN,delivered
2020-01-02T04:54:15Z,<53200729574746be@partner.example>,ayesha.goel@partner.example,miraan.zacharia@godavaricare.example,Lab result summary,212.47.188.7,pass,pass,pass,-,CLEAN,delivered
2020-01-02T04:54:15Z,<cb5c47c97c224f0f@partner.example>,ayesha.goel@partner.example,baiju.kale@godavaricare.example,Lab result summary,212.47.188.7,pass,pass,pass,-,CLEAN,delivered
2020-01-02T10:23:04Z,<dcadcd732abb4235@partner.example>,arnav.dhillon@partner.example,anaya.sura@godavaricare.example,Lab result summary,53.71.180.127,pass,pass,pass,-,CLEAN,delivered
2020-01-03T16:35:43Z,<914899500e3743b5@partner.example>,mohanlal.saraf@partner.example,miraan.bhatnagar@godavaricare.example,Ward roster,192.60.60.85,pass,pass,pass,-,CLEAN,delivered
2020-01-03T22:10:49Z,<44438d1f83844746@partner.example>,kismat.bhatti@partner.example,purab.jayaraman@godavaricare.example,Lab result summary,8.182.28.62,pass,pass,pass,-,CLEAN,delivered
2020-01-04T03:17:07Z,<8f577337d0f0452c@partner.example>,anya.goswami@partner.example,vritika.luthra@godavaricare.example,Ward roster,29.76.207.193,pass,pass,pass,-,CLEAN,delivered
2020-01-04T08:56:22Z,<d07acea9f31e4d03@partner.example>,raghav.butala@partner.example,kavya.manda@godavaricare.example,Lab result summary,27.90.181.220,pass,pass,pass,-,CLEAN,delivered
2020-01-04T21:27:52Z,<82d7254ec0ef4014@partner.example>,biju.chander@partner.example,gatik.bhargava@godavaricare.example,Ward roster,172.201.43.59,pass,pass,pass,-,CLEAN,delivered
2020-01-05T02:49:07Z,<a4cbb014e82e4093@partner.example>,aaina.dube@partner.example,rohan.lala@godavaricare.example,Ward roster,170.115.62.230,pass,pass,pass,-,CLEAN,delivered
2020-01-05T18:54:49Z,<fcfa7bcaf7bb4af9@partner.example>,dhanuk.karpe@partner.example,azad.gole@godavaricare.example,Re: claim settlement,164.196.237.121,pass,pass,pass,-,CLEAN,delivered
2020-01-06T02:17:27Z,<dacca602bd9a4ca5@partner.example>,jiya.luthra@partner.example,priyansh.hans@godavaricare.example,Re: claim settlement,10.153.23.147,pass,pass,pass,-,CLEAN,delivered
