timestamp,message_id,sender,recipient,subject,sender_ip,spf,dkim,dmarc,attachment,verdict,action
2020-01-01T00:43:27Z,<639b621a9c6042c1@partner.example>,myra.rana@partner.example,farhan.kashyap@sahyadripower.example,Maintenance window,159.63.40.232,pass,pass,pass,-,CLEAN,delivered
2020-01-01T04:19:53Z,<b8d106146443430c@partner.example>,vardaniya.sarna@partner.example,divij.golla@sahyadripower.example,Re: substation report,157.106.20.60,pass,pass,pass,-,CLEAN,delivered
2020-01-02T09:33:08Z,<044a509aec3749e1@partner.example>,shalv.badal@partner.example,advik.shankar@sahyadripower.example,Maintenance window,115.163.98.191,pass,pass,pass,-,CLEAN,delivered
2020-01-02T09:33:08Z,<30469a8ea61f4312@partner.example>,shalv.badal@partner.example,arnav.sura@sahyadripower.example,Maintenance window,115.163.98.191,pass,pass,pass,-,CLEAN,delivered
2020-01-02T15:00:15Z,<39d7070ea2c84be5@partner.example>,dishani.warrior@partner.example,krish.tripathi@sahyadripower.example,Re: substation report,78.168.250.18,pass,pass,pass,-,CLEAN,delivered
2020-01-02T18:16:42Z,<5ad2d69ad4c24b98@partner.example>,faiyaz.badal@partner.example,alisha.dar@sahyadripower.example,Load dispatch schedule,147.183.223.117,pass,pass,pass,-,CLEAN,delivered
2020-01-03T11:37:01Z,<15f293b47b8d47af@partner.example>,shlok.ramakrishnan@partner.example,alia.seth@sahyadripower.example,Re: substation report,157.73.79.253,pass,pass,pass,-,CLEAN,delivered
2020-01-03T17:40:43Z,<cc00ff806ce34cdd@partner.example>,jivika.sathe@partner.example,anika.babu@sahyadripower.example,Load dispatch schedule,26.251.18.98,pass,pass,pass,-,CLEAN,delivered
2020-01-04T20:07:48Z,<a48651dcab2a4695@mail-poqklexaet5noj0n6.click>,accounts@369ypvwt1l.top,riya.reddy@sahyadripower.example,Tender notice - action required,50.34.174.166,fail,fail,fail,doc.html,SPAM,delivered
2020-01-04T21:13:28Z,<e57bb74ccd2944f0@partner.example>,onkar.sodhi@partner.example,mahika.shah@sahyadripower.example,Maintenance window,31.142.29.92,pass,pass,pass,-,CLEAN,delivered
2020-01-05T09:12:14Z,<3b04478104f742f1@partner.example>,ryan.mani@partner.example,prerak.lanka@sahyadripower.example,Re: substation report,202.115.221.44,pass,pass,pass,-,CLEAN,delivered
2020-01-05T14:51:54Z,<c9e11100eed44c53@partner.example>,reyansh.bail@partner.example,anay.vig@sahyadripower.example,Re: substation report,203.48.165.211,pass,pass,pass,-,CLEAN,delivered
2020-01-06T22:19:59Z,<3e9ace3a1f664487@partner.example>,samarth.balakrishnan@partner.example,hrishita.kumer@sahyadripower.example,Load dispatch schedule,197.96.188.178,pass,pass,pass,-,CLEAN,delivered
2020-01-07T02:16:57Z,<9e73d632c7694a94@partner.example>,nakul.lata@partner.example,himmat.bahri@sahyadripower.example,Maintenance window,109.62.159.118,pass,pass,pass,-,CLEAN,delivered
2020-01-07T02:48:14Z,<c566a392714a400d@partner.example>,rohan.shukla@partner.example,sana.hari@sahyadripower.example,Re: substation report,3.49.109.218,pass,pass,pass,-,CLEAN,delivered
2020-01-07T12:22:41Z,<fd96d71be0d74b37@partner.example>,hansh.dasgupta@partner.example,zeeshan.doctor@sahyadripower.example,Maintenance window,61.215.56.19,pass,pass,pass,-,CLEAN,delivered
2020-01-08T07:19:00Z,<298175cc60db420d@partner.example>,vritika.goel@partner.example,armaan.bassi@sahyadripower.example,Re: substation report,31.155.56.110,pass,pass,pass,-,CLEAN,delivered
2020-01-08T13:59:17Z,<30379e4eb94a4bd7@partner.example>,parinaaz.randhawa@partner.example,vaibhav.kade@sahyadripower.example,Maintenance window,39.242.222.199,pass,pass,pass,-,CLEAN,delivered
2020-01-10T03:24:47Z,<074c724df3d7437d@partner.example>,aaina.kota@partner.example,hazel.ahuja@sahyadripower.example,Maintenance window,177.15.133.115,pass,pass,pass,-,CLEAN,delivered
2020-01-10T04:57:48Z,<727b454a11fe4099@mail-s801ueitmqwq879l3.xyz>,accounts@bopvjfqrlnxj.click,ivan.gupta@sahyadripower.example,Password expires today,173.84.81.68,fail,fail,fail,-,PHISH,delivered
2020-01-10T08:03:46Z,<e208fbc3e8ca4f13@mail-kdfrbj084uqzj9zl.click>,accounts@ftspdr2vyjo9du3s.click,jivin.issac@sahyadripower.example,Password expires today,221.201.243.10,fail,fail,fail,invoice.zip,SPAM,delivered
2020-01-10T14:14:27Z,<d6647f85f01648b5@partner.example>,anya.dave@partner.example,biju.dey@sahyadripower.example,Re: substation report,18.120.156.250,pass,pass,pass,-,CLEAN,delivered
2020-01-10T17:31:28Z,<24b867b36b5347cb@partner.example>,zoya.hari@partner.example,nishith.agrawal@sahyadripower.example,Maintenance window,142.44.109.129,pass,pass,pass,-,CLEAN,delivered
2020-01-10T17:31:28Z,<10800732043e474b@mail-i92zuejzx3mlwmvcg.xyz>,accounts@pqn3tndshmrne8.info,sara.lal@sahyadripower.example,Password expires today,142.44.109.129,fail,fail,fail,-,MALWARE,delivered
2020-01-12T04:47:55Z,<8a6963ca05d0483f@partner.example>,pranay.doshi@partner.example,khushi.kunda@sahyadripower.example,Re: substation report,190.133.134.191,pass,pass,pass,-,CLEAN,delivered
2020-01-12T05:28:44Z,<f21d4a08ccb3413e@mail-zpvl7z0td9aqi3n3n.xyz>,accounts@vm6r4uffqubtbvh057.click,divit.jhaveri@sahyadripower.example,Tender notice - action required,167.133.204.229,fail,fail,fail,invoice.zip,PHISH,delivered
2020-01-12T05:28:44Z,<1883f30b59174c04@mail-6xaoqgkif0hym1o.top>,accounts@aqlsll7mik.info,manikya.kar@sahyadripower.example,Password expires today,167.133.204.229,fail,fail,fail,invoice.zip,SPAM,delivered
2020-01-12T11:01:33Z,<6de3e350bcf148c1@mail-lvl1iscqdcem.info>,accounts@ksec98l19jlhkyamlr.info,veer.srinivasan@sahyadripower.example,Password expires today,37.225.176.201,fail,fail,fail,invoice.zip,PHISH,delivered
2020-01-12T17:11:15Z,<009761ad335441f5@partner.example>,shlok.toor@partner.example,lakshit.madan@sahyadripower.example,Re: substation report,84.16.254.197,pass,pass,pass,-,CLEAN,delivered
2020-01-12T21:31:57Z,<7a4b4bfff4b3479c@partner.example>,mamooty.sheth@partner.example,eva.atwal@sahyadripower.example,Load dispatch schedule,124.174.161.79,pass,pass,pass,-,CLEAN,delivered
