timestamp,message_id,sender,recipient,subject,sender_ip,spf,dkim,dmarc,attachment,verdict,action
2020-01-01T14:32:55Z,<484d6013dc0c4cb2@mail-7shd5288xsic19.info>,accounts@lup1mxzxfebebv.top,armaan.koshy@nilgiritelecom.example,Urgent: SIM KYC re-verification,185.231.47.97,fail,fail,fail,invoice.zip,PHISH,delivered
2020-01-02T15:00:15Z,<414f42f7a1414383@mail-6jtgpruwu7nbtq.xyz>,accounts@exzxegopibzz.xyz,hunar.venkatesh@nilgiritelecom.example,Your account will be suspended,78.168.250.18,fail,fail,fail,-,PHISH,delivered
2020-01-03T00:54:00Z,<73c3e852fb9741ff@mail-m3imxh9vib41.info>,accounts@gglp1pdrx8v0n1.top,sumer.sarma@nilgiritelecom.example,Roaming invoice overdue,69.75.57.137,fail,fail,fail,doc.html,MALWARE,delivered
2020-01-03T01:19:39Z,<a32617a4cc1d4871@partner.example>,kiara.golla@partner.example,lakshit.banerjee@nilgiritelecom.example,Re: tower maintenance,19.214.43.215,pass,pass,pass,-,CLEAN,delivered
2020-01-03T11:03:06Z,<f7f82d8a0aa94112@partner.example>,aradhya.gole@partner.example,jiya.chowdhury@nilgiritelecom.example,Interconnect settlement,56.89.206.68,pass,pass,pass,-,CLEAN,delivered
2020-01-03T18:58:21Z,<fbddb908279a4b02@mail-88kkwxm489xue3n.click>,accounts@b00s8a2vho752ixdvt.top,fateh.sidhu@nilgiritelecom.example,Your account will be suspended,70.35.159.11,fail,fail,fail,invoice.zip,PHISH,delivered
2020-01-03T21:06:44Z,<cfd3ae2bf7874129@mail-kk8l08qky8n7x.xyz>,accounts@iow8yefrm45ze.info,madhav.raval@nilgiritelecom.example,Your account will be suspended,54.49.196.228,fail,fail,fail,-,MALWARE,delivered
2020-01-04T11:27:20Z,<68b2becaaa8d4cbf@partner.example>,aarush.jha@partner.example,sahil.magar@nilgiritelecom.example,Interconnect settlement,208.128.53.51,pass,pass,pass,-,CLEAN,delivered
2020-01-04T17:55:39Z,<753aa9b045f248c5@partner.example>,mamooty.kota@partner.example,indrans.biswas@nilgiritelecom.example,NOC shift handover,37.138.80.165,pass,pass,pass,-,CLEAN,delivered
2020-01-05T06:24:03Z,<2b2a4bfd63b349f3@partner.example>,indrajit.sangha@partner.example,tushar.wali@nilgiritelecom.example,Re: tower maintenance,101.211.146.5,pass,pass,pass,-,CLEAN,delivered
2020-01-05T07:32:01Z,<0f2f425516bc4748@partner.example>,prerak.shroff@partner.example,adira.kakar@nilgiritelecom.example,Re: tower maintenance,131.159.44.170,pass,pass,pass,-,CLEAN,delivered
2020-01-07T02:26:41Z,<e86055cc7f3f4e60@partner.example>,badal.chadha@partner.example,adah.chowdhury@nilgiritelecom.example,Re: tower maintenance,176.139.14.231,pass,pass,pass,-,CLEAN,delivered
2020-01-07T09:43:29Z,<b547c19fd7334b62@partner.example>,shayak.chaudhuri@partner.example,vedika.shroff@nilgiritelecom.example,Re: tower maintenance,198.38.222.81,pass,pass,pass,-,CLEAN,delivered
